(infochimps,78L,100L)
(cloudera,43L,74L)
(LusciousPear,33L,45L)
(mrflip,32L,39L)
(kevinweil,28L,36L)
(tlipcon,27L,37L)
(peteskomoroch,25L,38L)
(bradfordcross,25L,33L)
(DataJunkie,23L,34L)
(rjurney,21L,42L)
(shot6,20L,46L)
(mndoci,20L,32L)
(mikeolson,17L,22L)
(okachimachiorz,15L,28L)
(hackingdata,15L,20L)
(esammer,15L,22L)
(botchagalupe,14L,36L)
(xefyr,13L,14L)
(ogrisel,12L,15L)
(dysinger,12L,14L)
(Nakada_itpro,12L,19L)
(BlueBoxTraveler,12L,16L)
(Agile_Cat,12L,19L)
(nealrichter,11L,14L)
(kzk_mover,11L,15L)
(cwensel,11L,12L)
(timoreilly,10L,13L)
(stuartsierra,10L,13L)
(otrajman,10L,10L)
(alisohani,10L,14L)
(CMastication,10L,23L)
(matthewmccull,9L,12L)
(lintool,9L,16L)
(drewconway,9L,9L)
(xamat,8L,13L)
(squarecog,8L,9L)
(ryu_kobayashi,8L,9L)
(n_yana,8L,10L)
(marshallk,8L,8L)
(jpatanooga,8L,12L)
(github,8L,9L)
(ccgillett,8L,13L)
(awadallah,8L,11L)
(neil_conway,7L,7L)
(monkchips,7L,7L)
(kevsmith,7L,7L)
(Fenng,7L,9L)
(CouchDB,7L,10L)
(tonybain,6L,6L)
(tom_e_white,6L,9L)
(techblogyahoo,6L,6L)
(strlen,6L,6L)
(sbtourist,6L,7L)
(nenshad,6L,8L)
(neilkod,6L,8L)
(moonpolysoft,6L,6L)
(mat_kelcey,6L,9L)
(infoarbitrage,6L,6L)
(igrigorik,6L,9L)
(hadoop,6L,7L)
(codinghorror,6L,7L)
(al3xandru,6L,6L)
(RyanBalfanz,6L,9L)
(PaulMiller,6L,7L)
(CurtMonash,6L,6L)
(yokofakun,5L,6L)
(sogrady,5L,6L)
(sasata299,5L,5L)
(ryanobjc,5L,6L)
(rgaidot,5L,12L)
(pbrane,5L,8L)
(otisg,5L,8L)
(nathanmarz,5L,6L)
(mjasay,5L,6L)
(m_mouri,5L,9L)
(lucasjosh,5L,5L)
(kuenishi,5L,6L)
(kis,5L,9L)
(kimtea,5L,5L)
(kazunori_279,5L,5L)
(jordansissel,5L,5L)
(jmhodges,5L,8L)
(jakehofman,5L,6L)
(fujibee,5L,13L)
(flowingdata,5L,5L)
(cutting,5L,7L)
(chrisbaglieri,5L,6L)
(NeilRaden,5L,6L)
(ChrisDiehl,5L,6L)
(yosit,4L,5L)
(wattersjames,4L,5L)
(tv,4L,6L)
(toluju,4L,4L)
(tensigma,4L,8L)
(tcurdt,4L,4L)
(syou6162,4L,5L)
(seancribbs,4L,4L)
(ryanprociuk,4L,4L)
(rckenned,4L,4L)
